frase,classe,predita,fonte
O calendário integrado não sincroniza com o Google Calendar.,Negativa,Neutra,Claude
Falta integração com o armazenamento em nuvem do celular.,Negativa,Neutra,Gemini
"Cobraram no meu cartão sem minha autorização, puro golpe.",Negativa,Positiva,Gemini
O aplicativo não mantém conexão estável.,Negativa,Positiva,ChatGPT
A política de privacidade não está disponível em português.,Negativa,Positiva,Claude
O ícone do aplicativo é a imagem gráfica que o representa na tela inicial.,Neutra,Negativa,Gemini
O TalkBack é o leitor de tela nativo do Android.,Neutra,Negativa,Claude
A integração com a agenda do celular ajuda a encontrar contatos no aplicativo.,Neutra,Positiva,Gemini
Suporte ao cliente resolveu meu problema em menos de cinco minutos.,Positiva,Negativa,Claude
A função de tradução simultânea é simplesmente fantástica.,Positiva,Negativa,Gemini
Configurações de notificação granulares para controle total do usuário.,Positiva,Neutra,Claude
A ferramenta de recorte e edição de áudio é fenomenal.,Positiva,Neutra,Gemini
