frase,classe,predita,fonte
A cinematografia abusa de câmera tremida ao ponto de causar enjoo físico nos espectadores.,Negativa,Neutra,Claude
A premissa foi abandonada no meio do caminho por uma história diferente.,Negativa,Neutra,Gemini
O roteiro tem buracos enormes e inexplicáveis.,Negativa,Positiva,ChatGPT
O filme não respeita a inteligência emocional do público ao telegrafar todos os momentos emocionais.,Negativa,Positiva,Claude
A atuação inexpressiva do ator principal arruinou o filme.,Negativa,Positiva,Gemini
O som não diegético é adicionado apenas para o público.,Neutra,Negativa,ChatGPT
O roteiro de 'Pulp Fiction' é conhecido por sua narrativa não linear.,Neutra,Negativa,Gemini
O filme tem classificação indicativa livre podendo ser assistido por todas as faixas etárias sem restrição.,Neutra,Negativa,Claude
Os efeitos de transição unem uma cena à próxima.,Neutra,Positiva,ChatGPT
A série 'How I Met Your Mother' tem 208 episódios.,Neutra,Positiva,Gemini
A série é exibida semanalmente com episódios lançados todas as sextas-feiras pela manhã sempre.,Neutra,Positiva,Claude
A reviravolta final muda completamente o sentido de tudo.,Positiva,Negativa,Gemini
A produção tem identidade e estilo próprios.,Positiva,Negativa,ChatGPT
Um filme que entende seu público e entrega exatamente o que prometeu.,Positiva,Negativa,Claude
Uma abordagem fresca e original para um gênero já conhecido.,Positiva,Neutra,Gemini
