frase_limpa,classe,fonte,frase
a produção parece barata e mal cuidada,Negativa,ChatGPT,A produção parece barata e mal cuidada.
a história não tinha foco e pulava entre ideias sem desenvolver nenhuma,Negativa,Gemini,A história não tinha foco e pulava entre ideias sem desenvolver nenhuma.
que final espetacular superou todas as minhas expectativas,Positiva,Gemini,Que final espetacular! Superou todas as minhas expectativas.
as atuações são exageradas e pouco críveis,Negativa,ChatGPT,As atuações são exageradas e pouco críveis.
a performance do elenco infantil era particularmente fraca,Negativa,Gemini,A performance do elenco infantil era particularmente fraca.
as emoções foram trabalhadas com muita delicadeza,Positiva,ChatGPT,As emoções foram trabalhadas com muita delicadeza.
a série despertou emoções profundas e verdadeiras,Positiva,ChatGPT,A série despertou emoções profundas e verdadeiras.
a produção utilizou tecnologia de realidade virtual durante préprodução para planejar movimentos de câmera complexos,Neutra,Claude,A produção utilizou tecnologia de realidade virtual durante pré-produção para planejar movimentos de câmera complexos.
a história era tão complicada sem motivo que se tornou cansativa,Negativa,Gemini,A história era tão complicada sem motivo que se tornou cansativa.
a trilha sonora de psicose usa apenas instrumentos de corda,Neutra,Gemini,A trilha sonora de 'Psicose' usa apenas instrumentos de corda.
a série true detective tem temporadas com histórias independentes,Neutra,Gemini,A série 'True Detective' tem temporadas com histórias independentes.
o filme parece um comercial longo,Negativa,ChatGPT,O filme parece um comercial longo.
a série apresenta continuidade compartilhada com outros programas criando universo expandido entre múltiplas produções relacionadas,Neutra,Claude,A série apresenta continuidade compartilhada com outros programas criando universo expandido entre múltiplas produções relacionadas.
uma experiência cinematográfica que transcende o entretenimento comum e vira arte,Positiva,Claude,Uma experiência cinematográfica que transcende o entretenimento comum e vira arte.
o making of é um vídeo sobre a produção do filme,Neutra,ChatGPT,O making of é um vídeo sobre a produção do filme.
os filmes independentes são produzidos fora dos grandes estúdios,Neutra,ChatGPT,Os filmes independentes são produzidos fora dos grandes estúdios.
o filme cidadão kane utiliza a técnica de profundidade de campo,Neutra,Gemini,O filme 'Cidadão Kane' (1941) utiliza a técnica de profundidade de campo.
o filme representa tudo que está errado com a indústria do entretenimento atual contemporânea,Negativa,Claude,O filme representa tudo que está errado com a indústria do entretenimento atual contemporânea.
o filme quero ser john malkovich tem um roteiro original,Neutra,Gemini,O filme 'Quero Ser John Malkovich' (1999) tem um roteiro original.
o filme o auto da compadecida é baseado na peça de ariano suassuna,Neutra,Gemini,O filme 'O Auto da Compadecida' (2000) é baseado na peça de Ariano Suassuna.
uma história comovente que me emocionou profundamente,Positiva,Gemini,Uma história comovente que me emocionou profundamente.
este filme é pura adrenalina uma experiência intensa,Positiva,Gemini,"Este filme é pura adrenalina, uma experiência intensa."
atuações amadoras que indicam claramente falta de direção adequada durante as filmagens realizadas,Negativa,Claude,Atuações amadoras que indicam claramente falta de direção adequada durante as filmagens realizadas.
um filme que celebra a criatividade humana e poder transformador da arte,Positiva,Claude,Um filme que celebra a criatividade humana e poder transformador da arte.
o filme foi restaurado digitalmente para relançamento em alta definição décadas após lançamento original nos cinemas,Neutra,Claude,O filme foi restaurado digitalmente para relançamento em alta definição décadas após lançamento original nos cinemas.
a direção demonstra total falta de visão artística resultando em produto final sem identidade nenhuma,Negativa,Claude,A direção demonstra total falta de visão artística resultando em produto final sem identidade nenhuma.
a série explora a psicologia de seus personagens com profundidade,Positiva,Gemini,A série explora a psicologia de seus personagens com profundidade.
a série parecia não saber para onde estava indo com sua própria história,Negativa,Gemini,A série parecia não saber para onde estava indo com sua própria história.
este filme é uma experiência cinematográfica inesquecível,Positiva,Gemini,Este filme é uma experiência cinematográfica inesquecível.
os efeitos especiais são de tirar o fôlego e a trilha sonora complementa perfeitamente cada cena,Positiva,Claude,Os efeitos especiais são de tirar o fôlego e a trilha sonora complementa perfeitamente cada cena.
o desenrolar da trama superou minhas expectativas,Positiva,ChatGPT,O desenrolar da trama superou minhas expectativas.
o termo cliffhanger se refere a um final de episódio em aberto,Neutra,Gemini,O termo 'cliffhanger' se refere a um final de episódio em aberto.
o filme entregou uma experiência completa e divertida,Positiva,ChatGPT,O filme entregou uma experiência completa e divertida.
a série orphan black tem uma atriz principal interpretando múltiplos papéis,Neutra,Gemini,A série 'Orphan Black' tem uma atriz principal interpretando múltiplos papéis.
o filme tinha um elenco estelar mas todos foram mal aproveitados,Negativa,Gemini,"O filme tinha um elenco estelar, mas todos foram mal aproveitados."
meryl streep detém o recorde de indicações ao oscar para uma atriz,Neutra,Gemini,Meryl Streep detém o recorde de indicações ao Oscar para uma atriz.
